sample_name,bam_file_path,treatment
r1ab_a4_r2,CAP_I_tophat_sortedbam/r1ab_a4_r2/r1ab_a4_r2.sorted.bam,r1ab_a4
r1ab_a4_r3,CAP_I_tophat_sortedbam/r1ab_a4_r3/r1ab_a4_r3.sorted.bam,r1ab_a4
r1ab_kv_r1,CAP_I_tophat_sortedbam/r1ab_kv_r1/r1ab_kv_r1.sorted.bam,r1ab_kv
r1ab_kv_r2,CAP_I_tophat_sortedbam/r1ab_kv_r2/r1ab_kv_r2.sorted.bam,r1ab_kv
r1ab_kv_r3,CAP_I_tophat_sortedbam/r1ab_kv_r3/r1ab_kv_r3.sorted.bam,r1ab_kv
r1ab_mk_r1,CAP_I_tophat_sortedbam/r1ab_mk_r1/r1ab_mk_r1.sorted.bam,r1ab_mk
r1ab_mk_r2,CAP_I_tophat_sortedbam/r1ab_mk_r2/r1ab_mk_r2.sorted.bam,r1ab_mk
r1ab_mk_r3,CAP_I_tophat_sortedbam/r1ab_mk_r3/r1ab_mk_r3.sorted.bam,r1ab_mk
sid2_a2_r1,CAP_I_tophat_sortedbam/sid2_a2_r1/sid2_a2_r1.sorted.bam,sid2_a2
sid2_a2_r2,CAP_I_tophat_sortedbam/sid2_a2_r2/sid2_a2_r2.sorted.bam,sid2_a2
sid2_a2_r3,CAP_I_tophat_sortedbam/sid2_a2_r3/sid2_a2_r3.sorted.bam,sid2_a2
sid2_a4_r1,CAP_I_tophat_sortedbam/sid2_a4_r1/sid2_a4_r1.sorted.bam,sid2_a4
sid2_a4_r2,CAP_I_tophat_sortedbam/sid2_a4_r2/sid2_a4_r2.sorted.bam,sid2_a4
sid2_a4_r3,CAP_I_tophat_sortedbam/sid2_a4_r3/sid2_a4_r3.sorted.bam,sid2_a4
sid2_kv_r1,CAP_I_tophat_sortedbam/sid2_kv_r1/sid2_kv_r1.sorted.bam,sid2_kv
sid2_kv_r2,CAP_I_tophat_sortedbam/sid2_kv_r2/sid2_kv_r2.sorted.bam,sid2_kv
sid2_kv_r3,CAP_I_tophat_sortedbam/sid2_kv_r3/sid2_kv_r3.sorted.bam,sid2_kv
sid2_mk_r1,CAP_I_tophat_sortedbam/sid2_mk_r1/sid2_mk_r1.sorted.bam,sid2_mk
sid2_mk_r2,CAP_I_tophat_sortedbam/sid2_mk_r2/sid2_mk_r2.sorted.bam,sid2_mk
sid2_mk_r3,CAP_I_tophat_sortedbam/sid2_mk_r3/sid2_mk_r3.sorted.bam,sid2_mk
tplr14_a2_r1,CAP_I_tophat_sortedbam/tplr14_a2_r1/tplr14_a2_r1.sorted.bam,tplr14_a2
tplr14_a2_r2,CAP_I_tophat_sortedbam/tplr14_a2_r2/tplr14_a2_r2.sorted.bam,tplr14_a2
tplr14_a2_r3,CAP_I_tophat_sortedbam/tplr14_a2_r3/tplr14_a2_r3.sorted.bam,tplr14_a2
tplr14_a4_r1,CAP_I_tophat_sortedbam/tplr14_a4_r1/tplr14_a4_r1.sorted.bam,tplr14_a4
tplr14_a4_r2,CAP_I_tophat_sortedbam/tplr14_a4_r2/tplr14_a4_r2.sorted.bam,tplr14_a4
tplr14_a4_r3,CAP_I_tophat_sortedbam/tplr14_a4_r3/tplr14_a4_r3.sorted.bam,tplr14_a4
tplr14_kv_r1,CAP_I_tophat_sortedbam/tplr14_kv_r1/tplr14_kv_r1.sorted.bam,tplr14_kv
tplr14_kv_r2,CAP_I_tophat_sortedbam/tplr14_kv_r2/tplr14_kv_r2.sorted.bam,tplr14_kv
tplr14_kv_r3,CAP_I_tophat_sortedbam/tplr14_kv_r3/tplr14_kv_r3.sorted.bam,tplr14_kv
tplr14_mk_r1,CAP_I_tophat_sortedbam/tplr14_mk_r1/tplr14_mk_r1.sorted.bam,tplr14_mk
tplr14_mk_r2,CAP_I_tophat_sortedbam/tplr14_mk_r2/tplr14_mk_r2.sorted.bam,tplr14_mk
tplr14_mk_r3,CAP_I_tophat_sortedbam/tplr14_mk_r3/tplr14_mk_r3.sorted.bam,tplr14_mk
wt_a2_r1,CAP_I_tophat_sortedbam/wt_a2_r1/wt_a2_r1.sorted.bam,wt_a2
wt_a2_r2,CAP_I_tophat_sortedbam/wt_a2_r2/wt_a2_r2.sorted.bam,wt_a2
wt_a2_r3,CAP_I_tophat_sortedbam/wt_a2_r3/wt_a2_r3.sorted.bam,wt_a2
wt_a4_r1,CAP_I_tophat_sortedbam/wt_a4_r1/wt_a4_r1.sorted.bam,wt_a4
wt_a4_r2,CAP_I_tophat_sortedbam/wt_a4_r2/wt_a4_r2.sorted.bam,wt_a4
wt_a4_r3,CAP_I_tophat_sortedbam/wt_a4_r3/wt_a4_r3.sorted.bam,wt_a4
wt_kv_r1,CAP_I_tophat_sortedbam/wt_kv_r1/wt_kv_r1.sorted.bam,wt_kv
wt_kv_r2,CAP_I_tophat_sortedbam/wt_kv_r2/wt_kv_r2.sorted.bam,wt_kv
wt_kv_r3,CAP_I_tophat_sortedbam/wt_kv_r3/wt_kv_r3.sorted.bam,wt_kv
wt_mk_r1,CAP_I_tophat_sortedbam/wt_mk_r1/wt_mk_r1.sorted.bam,wt_mk
wt_mk_r2,CAP_I_tophat_sortedbam/wt_mk_r2/wt_mk_r2.sorted.bam,wt_mk
wt_mk_r3,CAP_I_tophat_sortedbam/wt_mk_r3/wt_mk_r3.sorted.bam,wt_mk
wt_un_r1,CAP_I_tophat_sortedbam/wt_un_r1/wt_un_r1.sorted.bam,wt_un
wt_un_r2,CAP_I_tophat_sortedbam/wt_un_r2/wt_un_r2.sorted.bam,wt_un
wt_un_r3,CAP_I_tophat_sortedbam/wt_un_r3/wt_un_r3.sorted.bam,wt_un
